fold,auc,MCC,G,accuracy,cost_effectiveness,precision_m,recall_m,f1_score_m,precision_a,recall_a,f1_score_a,algorithm,train_or_test,model_id,project,run
1,0.855,0.425,0.762,0.856,0.99,0.959,0.878,0.917,0.376,0.661,0.479,DT_new,train,best_performance_model,Gerrithub,0
2,0.862,0.425,0.77,0.833,0.991,0.957,0.85,0.9,0.372,0.698,0.485,DT_new,train,best_performance_model,Gerrithub,0
3,0.86,0.403,0.769,0.791,0.993,0.956,0.798,0.87,0.345,0.741,0.471,DT_new,train,best_performance_model,Gerrithub,0
4,0.87,0.388,0.77,0.745,0.993,0.961,0.735,0.833,0.316,0.806,0.454,DT_new,train,best_performance_model,Gerrithub,0
5,0.874,0.376,0.77,0.719,0.997,0.969,0.701,0.814,0.289,0.845,0.431,DT_new,train,best_performance_model,Gerrithub,0
1,0.803,0.371,0.711,0.814,0.99,0.932,0.848,0.888,0.377,0.597,0.462,DT_new,test,best_performance_model,Gerrithub,0
2,0.815,0.395,0.678,0.865,0.977,0.931,0.914,0.923,0.442,0.503,0.471,DT_new,test,best_performance_model,Gerrithub,0
3,0.852,0.443,0.745,0.862,0.992,0.947,0.894,0.92,0.436,0.62,0.512,DT_new,test,best_performance_model,Gerrithub,0
4,0.804,0.295,0.72,0.721,0.965,0.953,0.721,0.821,0.244,0.719,0.365,DT_new,test,best_performance_model,Gerrithub,0
5,0.862,0.324,0.742,0.675,0.992,0.97,0.652,0.78,0.242,0.845,0.376,DT_new,test,best_performance_model,Gerrithub,0
1,0.802,0.342,0.734,0.815,0.981,0.958,0.832,0.89,0.287,0.647,0.397,DT_old,train,best_performance_model,Gerrithub,0
2,0.799,0.295,0.711,0.783,0.981,0.954,0.799,0.87,0.247,0.634,0.355,DT_old,train,best_performance_model,Gerrithub,0
3,0.799,0.323,0.702,0.828,0.987,0.951,0.854,0.9,0.291,0.577,0.387,DT_old,train,best_performance_model,Gerrithub,0
4,0.849,0.37,0.759,0.818,0.991,0.963,0.831,0.892,0.299,0.693,0.418,DT_old,train,best_performance_model,Gerrithub,0
5,0.772,0.266,0.711,0.723,0.973,0.958,0.725,0.826,0.209,0.698,0.322,DT_old,train,best_performance_model,Gerrithub,0
1,0.775,0.294,0.701,0.722,0.987,0.935,0.73,0.82,0.278,0.674,0.394,DT_old,test,best_performance_model,Gerrithub,0
2,0.676,0.2,0.606,0.76,0.913,0.916,0.801,0.855,0.238,0.458,0.313,DT_old,test,best_performance_model,Gerrithub,0
3,0.769,0.203,0.653,0.597,0.983,0.943,0.578,0.717,0.187,0.737,0.299,DT_old,test,best_performance_model,Gerrithub,0
4,0.8,0.372,0.724,0.829,0.98,0.946,0.857,0.899,0.349,0.612,0.445,DT_old,test,best_performance_model,Gerrithub,0
5,0.703,0.184,0.641,0.626,0.95,0.933,0.621,0.746,0.186,0.661,0.291,DT_old,test,best_performance_model,Gerrithub,0
1,0.855,0.425,0.762,0.856,0.99,0.959,0.878,0.917,0.376,0.661,0.479,DT_new,train,best_performance_model,Gerrithub,1
2,0.862,0.425,0.77,0.833,0.991,0.957,0.85,0.9,0.372,0.698,0.485,DT_new,train,best_performance_model,Gerrithub,1
3,0.86,0.403,0.769,0.791,0.993,0.956,0.798,0.87,0.345,0.741,0.471,DT_new,train,best_performance_model,Gerrithub,1
4,0.87,0.388,0.77,0.745,0.993,0.961,0.735,0.833,0.316,0.806,0.454,DT_new,train,best_performance_model,Gerrithub,1
5,0.874,0.376,0.77,0.719,0.997,0.969,0.701,0.814,0.289,0.845,0.431,DT_new,train,best_performance_model,Gerrithub,1
1,0.803,0.371,0.711,0.814,0.99,0.932,0.848,0.888,0.377,0.597,0.462,DT_new,test,best_performance_model,Gerrithub,1
2,0.815,0.395,0.678,0.865,0.977,0.931,0.914,0.923,0.442,0.503,0.471,DT_new,test,best_performance_model,Gerrithub,1
3,0.852,0.443,0.745,0.862,0.992,0.947,0.894,0.92,0.436,0.62,0.512,DT_new,test,best_performance_model,Gerrithub,1
4,0.804,0.295,0.72,0.721,0.965,0.953,0.721,0.821,0.244,0.719,0.365,DT_new,test,best_performance_model,Gerrithub,1
5,0.862,0.324,0.742,0.675,0.992,0.97,0.652,0.78,0.242,0.845,0.376,DT_new,test,best_performance_model,Gerrithub,1
1,0.799,0.316,0.726,0.792,0.975,0.957,0.807,0.875,0.26,0.653,0.372,DT_old,train,best_performance_model,Gerrithub,1
2,0.849,0.37,0.759,0.818,0.991,0.963,0.831,0.892,0.299,0.693,0.418,DT_old,train,best_performance_model,Gerrithub,1
3,0.804,0.276,0.721,0.718,0.989,0.962,0.718,0.822,0.211,0.725,0.327,DT_old,train,best_performance_model,Gerrithub,1
4,0.775,0.265,0.712,0.715,0.973,0.959,0.716,0.82,0.206,0.708,0.319,DT_old,train,best_performance_model,Gerrithub,1
5,0.849,0.37,0.759,0.818,0.991,0.963,0.831,0.892,0.299,0.693,0.418,DT_old,train,best_performance_model,Gerrithub,1
1,0.719,0.25,0.663,0.727,0.955,0.921,0.748,0.826,0.265,0.587,0.365,DT_old,test,best_performance_model,Gerrithub,1
2,0.794,0.379,0.681,0.855,0.992,0.932,0.901,0.916,0.413,0.514,0.458,DT_old,test,best_performance_model,Gerrithub,1
3,0.792,0.271,0.704,0.664,0.983,0.954,0.65,0.774,0.224,0.763,0.346,DT_old,test,best_performance_model,Gerrithub,1
4,0.771,0.195,0.651,0.603,0.985,0.943,0.588,0.725,0.18,0.719,0.288,DT_old,test,best_performance_model,Gerrithub,1
5,0.823,0.428,0.739,0.856,0.983,0.946,0.888,0.916,0.418,0.615,0.498,DT_old,test,best_performance_model,Gerrithub,1
1,0.839,0.359,0.739,0.818,0.991,0.956,0.837,0.892,0.308,0.652,0.418,ET_new,train,best_performance_model,Gerrithub,0
2,0.83,0.348,0.736,0.787,0.991,0.951,0.801,0.87,0.302,0.677,0.418,ET_new,train,best_performance_model,Gerrithub,0
3,0.915,0.498,0.816,0.841,1,0.965,0.849,0.903,0.427,0.784,0.553,ET_new,train,best_performance_model,Gerrithub,0
4,0.924,0.522,0.827,0.845,1,0.966,0.851,0.905,0.451,0.804,0.578,ET_new,train,best_performance_model,Gerrithub,0
5,0.925,0.517,0.827,0.847,1,0.968,0.853,0.907,0.44,0.801,0.568,ET_new,train,best_performance_model,Gerrithub,0
1,0.792,0.295,0.691,0.75,0.992,0.929,0.77,0.842,0.294,0.619,0.399,ET_new,test,best_performance_model,Gerrithub,0
2,0.818,0.369,0.74,0.799,0.99,0.948,0.817,0.878,0.331,0.67,0.444,ET_new,test,best_performance_model,Gerrithub,0
3,0.874,0.419,0.763,0.83,0.997,0.953,0.849,0.898,0.375,0.686,0.485,ET_new,test,best_performance_model,Gerrithub,0
4,0.862,0.474,0.775,0.869,0.988,0.956,0.894,0.924,0.442,0.672,0.533,ET_new,test,best_performance_model,Gerrithub,0
5,0.865,0.478,0.754,0.878,0.993,0.949,0.911,0.929,0.479,0.624,0.542,ET_new,test,best_performance_model,Gerrithub,0
1,0.832,0.347,0.737,0.816,0.992,0.958,0.833,0.891,0.29,0.652,0.401,ET_old,train,best_performance_model,Gerrithub,0
2,0.834,0.341,0.742,0.802,0.992,0.96,0.815,0.882,0.276,0.676,0.392,ET_old,train,best_performance_model,Gerrithub,0
3,0.835,0.342,0.743,0.804,0.991,0.96,0.817,0.883,0.278,0.675,0.394,ET_old,train,best_performance_model,Gerrithub,0
4,0.835,0.343,0.743,0.804,0.992,0.96,0.817,0.883,0.278,0.675,0.394,ET_old,train,best_performance_model,Gerrithub,0
5,0.834,0.342,0.743,0.803,0.992,0.96,0.816,0.882,0.277,0.677,0.394,ET_old,train,best_performance_model,Gerrithub,0
1,0.77,0.28,0.68,0.744,0.995,0.926,0.766,0.838,0.285,0.604,0.388,ET_old,test,best_performance_model,Gerrithub,0
2,0.795,0.303,0.679,0.796,0.99,0.932,0.829,0.878,0.306,0.556,0.394,ET_old,test,best_performance_model,Gerrithub,0
3,0.832,0.343,0.716,0.803,0.998,0.943,0.827,0.881,0.321,0.62,0.423,ET_old,test,best_performance_model,Gerrithub,0
4,0.811,0.328,0.704,0.807,0.988,0.942,0.834,0.885,0.309,0.594,0.407,ET_old,test,best_performance_model,Gerrithub,0
5,0.754,0.233,0.611,0.796,0.992,0.92,0.843,0.88,0.27,0.443,0.335,ET_old,test,best_performance_model,Gerrithub,0
1,0.838,0.35,0.735,0.813,0.991,0.955,0.831,0.889,0.3,0.65,0.41,ET_new,train,best_performance_model,Gerrithub,1
2,0.829,0.344,0.73,0.79,0.99,0.949,0.807,0.872,0.304,0.661,0.416,ET_new,train,best_performance_model,Gerrithub,1
3,0.919,0.513,0.823,0.848,1,0.966,0.857,0.908,0.441,0.79,0.566,ET_new,train,best_performance_model,Gerrithub,1
4,0.925,0.529,0.83,0.848,1,0.967,0.854,0.907,0.457,0.808,0.583,ET_new,train,best_performance_model,Gerrithub,1
5,0.923,0.511,0.824,0.845,1,0.967,0.852,0.906,0.436,0.797,0.564,ET_new,train,best_performance_model,Gerrithub,1
1,0.79,0.283,0.682,0.747,0.993,0.926,0.769,0.841,0.288,0.604,0.39,ET_new,test,best_performance_model,Gerrithub,1
2,0.82,0.36,0.726,0.806,0.99,0.944,0.829,0.883,0.335,0.637,0.439,ET_new,test,best_performance_model,Gerrithub,1
3,0.875,0.425,0.768,0.831,0.997,0.955,0.849,0.899,0.378,0.694,0.489,ET_new,test,best_performance_model,Gerrithub,1
4,0.863,0.466,0.767,0.868,0.988,0.954,0.895,0.923,0.439,0.657,0.526,ET_new,test,best_performance_model,Gerrithub,1
5,0.861,0.464,0.753,0.87,0.993,0.949,0.902,0.925,0.456,0.629,0.529,ET_new,test,best_performance_model,Gerrithub,1
1,0.835,0.344,0.742,0.807,0.992,0.96,0.821,0.885,0.281,0.671,0.396,ET_old,train,best_performance_model,Gerrithub,1
2,0.834,0.339,0.74,0.804,0.992,0.96,0.818,0.883,0.277,0.669,0.392,ET_old,train,best_performance_model,Gerrithub,1
3,0.832,0.344,0.742,0.807,0.992,0.96,0.821,0.885,0.281,0.671,0.396,ET_old,train,best_performance_model,Gerrithub,1
4,0.837,0.345,0.746,0.804,0.992,0.961,0.816,0.883,0.279,0.681,0.396,ET_old,train,best_performance_model,Gerrithub,1
5,0.834,0.339,0.741,0.802,0.992,0.96,0.815,0.882,0.275,0.674,0.391,ET_old,train,best_performance_model,Gerrithub,1
1,0.773,0.286,0.683,0.751,0.992,0.926,0.774,0.843,0.292,0.602,0.393,ET_old,test,best_performance_model,Gerrithub,1
2,0.795,0.296,0.666,0.803,0.992,0.929,0.84,0.883,0.309,0.528,0.39,ET_old,test,best_performance_model,Gerrithub,1
3,0.838,0.365,0.717,0.823,1,0.942,0.853,0.895,0.35,0.603,0.443,ET_old,test,best_performance_model,Gerrithub,1
4,0.816,0.327,0.707,0.803,0.988,0.943,0.828,0.882,0.306,0.603,0.406,ET_old,test,best_performance_model,Gerrithub,1
5,0.753,0.211,0.598,0.787,0.992,0.917,0.834,0.874,0.253,0.428,0.318,ET_old,test,best_performance_model,Gerrithub,1
