fold,auc,MCC,G,accuracy,cost_effectiveness,precision_m,recall_m,f1_score_m,precision_a,recall_a,f1_score_a,algorithm,train_or_test,model_id,project,run
1,0.87,0.424,0.77,0.849,0.994,0.961,0.868,0.912,0.365,0.684,0.476,RF_new,train,best_performance_model,Gerrithub,0
2,0.872,0.428,0.777,0.829,0.993,0.959,0.844,0.898,0.369,0.716,0.487,RF_new,train,best_performance_model,Gerrithub,0
3,0.965,0.704,0.878,0.929,1,0.973,0.945,0.959,0.68,0.815,0.741,RF_new,train,best_performance_model,Gerrithub,0
4,0.966,0.712,0.873,0.93,1,0.969,0.949,0.959,0.705,0.804,0.751,RF_new,train,best_performance_model,Gerrithub,0
5,0.97,0.71,0.885,0.929,1,0.975,0.943,0.959,0.677,0.832,0.746,RF_new,train,best_performance_model,Gerrithub,0
1,0.828,0.335,0.721,0.759,0.99,0.938,0.773,0.848,0.314,0.672,0.428,RF_new,test,best_performance_model,Gerrithub,0
2,0.84,0.376,0.724,0.824,0.988,0.942,0.852,0.895,0.361,0.615,0.455,RF_new,test,best_performance_model,Gerrithub,0
3,0.882,0.585,0.738,0.921,0.997,0.944,0.968,0.956,0.701,0.563,0.624,RF_new,test,best_performance_model,Gerrithub,0
4,0.871,0.587,0.746,0.923,0.99,0.948,0.967,0.957,0.687,0.576,0.627,RF_new,test,best_performance_model,Gerrithub,0
5,0.881,0.582,0.751,0.919,0.995,0.947,0.962,0.954,0.671,0.586,0.626,RF_new,test,best_performance_model,Gerrithub,0
1,0.867,0.389,0.775,0.819,0.995,0.967,0.829,0.892,0.306,0.725,0.431,RF_old,train,best_performance_model,Gerrithub,0
2,0.864,0.375,0.77,0.809,0.995,0.966,0.818,0.886,0.293,0.725,0.418,RF_old,train,best_performance_model,Gerrithub,0
3,0.867,0.374,0.772,0.805,0.994,0.967,0.812,0.883,0.29,0.734,0.415,RF_old,train,best_performance_model,Gerrithub,0
4,0.865,0.369,0.769,0.801,0.994,0.967,0.808,0.88,0.285,0.732,0.41,RF_old,train,best_performance_model,Gerrithub,0
5,0.867,0.379,0.774,0.808,0.994,0.967,0.815,0.885,0.293,0.735,0.419,RF_old,train,best_performance_model,Gerrithub,0
1,0.807,0.297,0.706,0.714,0.988,0.939,0.716,0.812,0.275,0.697,0.394,RF_old,test,best_performance_model,Gerrithub,0
2,0.823,0.34,0.737,0.761,0.992,0.951,0.769,0.85,0.293,0.707,0.414,RF_old,test,best_performance_model,Gerrithub,0
3,0.86,0.36,0.76,0.75,0.997,0.962,0.746,0.84,0.287,0.774,0.419,RF_old,test,best_performance_model,Gerrithub,0
4,0.834,0.308,0.729,0.729,0.988,0.955,0.729,0.827,0.252,0.728,0.375,RF_old,test,best_performance_model,Gerrithub,0
5,0.811,0.259,0.696,0.653,0.995,0.953,0.639,0.765,0.216,0.759,0.336,RF_old,test,best_performance_model,Gerrithub,0
1,0.871,0.416,0.78,0.833,0.994,0.964,0.846,0.901,0.342,0.72,0.463,RF_new,train,best_performance_model,Gerrithub,1
2,0.874,0.438,0.778,0.838,0.992,0.958,0.854,0.903,0.382,0.709,0.496,RF_new,train,best_performance_model,Gerrithub,1
3,0.973,0.746,0.894,0.94,1,0.976,0.955,0.965,0.726,0.838,0.778,RF_new,train,best_performance_model,Gerrithub,1
4,0.964,0.705,0.872,0.927,1,0.97,0.946,0.957,0.692,0.805,0.744,RF_new,train,best_performance_model,Gerrithub,1
5,0.971,0.715,0.885,0.931,1,0.975,0.945,0.96,0.685,0.829,0.75,RF_new,train,best_performance_model,Gerrithub,1
1,0.824,0.325,0.724,0.729,0.99,0.944,0.73,0.823,0.292,0.719,0.415,RF_new,test,best_performance_model,Gerrithub,1
2,0.84,0.39,0.728,0.832,0.988,0.943,0.862,0.901,0.376,0.615,0.467,RF_new,test,best_performance_model,Gerrithub,1
3,0.883,0.611,0.739,0.927,0.997,0.944,0.976,0.96,0.754,0.56,0.643,RF_new,test,best_performance_model,Gerrithub,1
4,0.87,0.586,0.746,0.923,0.99,0.948,0.967,0.957,0.684,0.576,0.626,RF_new,test,best_performance_model,Gerrithub,1
5,0.872,0.575,0.747,0.917,0.993,0.946,0.962,0.954,0.664,0.58,0.62,RF_new,test,best_performance_model,Gerrithub,1
1,0.869,0.379,0.776,0.806,0.994,0.968,0.813,0.883,0.292,0.74,0.418,RF_old,train,best_performance_model,Gerrithub,1
2,0.867,0.376,0.774,0.805,0.994,0.967,0.812,0.883,0.29,0.738,0.416,RF_old,train,best_performance_model,Gerrithub,1
3,0.866,0.383,0.775,0.811,0.994,0.967,0.819,0.887,0.298,0.734,0.423,RF_old,train,best_performance_model,Gerrithub,1
4,0.868,0.378,0.772,0.809,0.994,0.967,0.818,0.886,0.294,0.729,0.419,RF_old,train,best_performance_model,Gerrithub,1
5,0.869,0.379,0.774,0.809,0.995,0.967,0.817,0.885,0.294,0.734,0.42,RF_old,train,best_performance_model,Gerrithub,1
1,0.806,0.287,0.702,0.696,0.99,0.94,0.693,0.798,0.264,0.711,0.385,RF_old,test,best_performance_model,Gerrithub,1
2,0.818,0.348,0.742,0.765,0.99,0.952,0.772,0.853,0.298,0.712,0.42,RF_old,test,best_performance_model,Gerrithub,1
3,0.862,0.378,0.765,0.777,0.997,0.959,0.781,0.861,0.311,0.749,0.439,RF_old,test,best_performance_model,Gerrithub,1
4,0.834,0.307,0.726,0.734,0.987,0.954,0.736,0.831,0.255,0.716,0.376,RF_old,test,best_performance_model,Gerrithub,1
5,0.814,0.258,0.696,0.659,0.995,0.951,0.648,0.771,0.218,0.747,0.337,RF_old,test,best_performance_model,Gerrithub,1
1,0.81,0.338,0.74,0.79,0.981,0.958,0.802,0.873,0.278,0.683,0.395,LR_new,train,best_performance_model,Gerrithub,0
2,0.809,0.334,0.738,0.76,0.98,0.954,0.767,0.85,0.28,0.711,0.401,LR_new,train,best_performance_model,Gerrithub,0
3,0.801,0.34,0.73,0.764,0.973,0.945,0.775,0.852,0.305,0.688,0.423,LR_new,train,best_performance_model,Gerrithub,0
4,0.81,0.338,0.731,0.744,0.979,0.945,0.748,0.835,0.301,0.715,0.424,LR_new,train,best_performance_model,Gerrithub,0
5,0.815,0.349,0.741,0.755,0.984,0.95,0.759,0.844,0.302,0.724,0.426,LR_new,train,best_performance_model,Gerrithub,0
1,0.793,0.323,0.726,0.715,0.977,0.947,0.711,0.812,0.284,0.741,0.411,LR_new,test,best_performance_model,Gerrithub,0
2,0.779,0.304,0.718,0.732,0.98,0.948,0.736,0.828,0.264,0.701,0.384,LR_new,test,best_performance_model,Gerrithub,0
3,0.819,0.335,0.727,0.778,0.98,0.947,0.793,0.863,0.298,0.666,0.412,LR_new,test,best_performance_model,Gerrithub,0
4,0.835,0.398,0.763,0.815,0.988,0.957,0.83,0.889,0.341,0.701,0.459,LR_new,test,best_performance_model,Gerrithub,0
5,0.835,0.368,0.744,0.797,0.987,0.951,0.813,0.876,0.323,0.681,0.438,LR_new,test,best_performance_model,Gerrithub,0
1,0.807,0.311,0.732,0.775,0.986,0.959,0.784,0.863,0.248,0.682,0.364,LR_old,train,best_performance_model,Gerrithub,0
2,0.807,0.311,0.732,0.775,0.986,0.959,0.784,0.863,0.248,0.682,0.364,LR_old,train,best_performance_model,Gerrithub,0
3,0.807,0.311,0.732,0.775,0.986,0.959,0.784,0.863,0.248,0.682,0.364,LR_old,train,best_performance_model,Gerrithub,0
4,0.807,0.311,0.732,0.775,0.986,0.959,0.784,0.863,0.248,0.682,0.364,LR_old,train,best_performance_model,Gerrithub,0
5,0.807,0.311,0.732,0.775,0.986,0.959,0.784,0.863,0.248,0.682,0.364,LR_old,train,best_performance_model,Gerrithub,0
1,0.786,0.291,0.706,0.693,0.993,0.942,0.688,0.795,0.264,0.724,0.387,LR_old,test,best_performance_model,Gerrithub,0
2,0.784,0.301,0.719,0.72,0.983,0.95,0.72,0.819,0.258,0.718,0.379,LR_old,test,best_performance_model,Gerrithub,0
3,0.81,0.309,0.725,0.729,0.985,0.952,0.73,0.827,0.261,0.72,0.383,LR_old,test,best_performance_model,Gerrithub,0
4,0.811,0.291,0.722,0.691,0.988,0.958,0.681,0.796,0.231,0.764,0.355,LR_old,test,best_performance_model,Gerrithub,0
5,0.802,0.289,0.717,0.686,0.988,0.956,0.676,0.792,0.236,0.761,0.36,LR_old,test,best_performance_model,Gerrithub,0
1,0.81,0.338,0.74,0.79,0.981,0.958,0.802,0.873,0.278,0.683,0.395,LR_new,train,best_performance_model,Gerrithub,1
2,0.809,0.334,0.738,0.76,0.98,0.954,0.767,0.85,0.28,0.711,0.401,LR_new,train,best_performance_model,Gerrithub,1
3,0.801,0.34,0.73,0.764,0.973,0.945,0.775,0.852,0.305,0.688,0.423,LR_new,train,best_performance_model,Gerrithub,1
4,0.81,0.338,0.731,0.744,0.979,0.945,0.748,0.835,0.301,0.715,0.424,LR_new,train,best_performance_model,Gerrithub,1
5,0.815,0.349,0.741,0.755,0.984,0.95,0.759,0.844,0.302,0.724,0.426,LR_new,train,best_performance_model,Gerrithub,1
1,0.793,0.323,0.726,0.715,0.977,0.947,0.711,0.812,0.284,0.741,0.411,LR_new,test,best_performance_model,Gerrithub,1
2,0.779,0.304,0.718,0.732,0.98,0.948,0.736,0.828,0.264,0.701,0.384,LR_new,test,best_performance_model,Gerrithub,1
3,0.819,0.335,0.727,0.778,0.98,0.947,0.793,0.863,0.298,0.666,0.412,LR_new,test,best_performance_model,Gerrithub,1
4,0.835,0.398,0.763,0.815,0.988,0.957,0.83,0.889,0.341,0.701,0.459,LR_new,test,best_performance_model,Gerrithub,1
5,0.835,0.368,0.744,0.797,0.987,0.951,0.813,0.876,0.323,0.681,0.438,LR_new,test,best_performance_model,Gerrithub,1
1,0.807,0.311,0.732,0.775,0.986,0.959,0.784,0.863,0.248,0.682,0.364,LR_old,train,best_performance_model,Gerrithub,1
2,0.807,0.311,0.732,0.775,0.986,0.959,0.784,0.863,0.248,0.682,0.364,LR_old,train,best_performance_model,Gerrithub,1
3,0.807,0.311,0.732,0.775,0.986,0.959,0.784,0.863,0.248,0.682,0.364,LR_old,train,best_performance_model,Gerrithub,1
4,0.807,0.311,0.732,0.775,0.986,0.959,0.784,0.863,0.248,0.682,0.364,LR_old,train,best_performance_model,Gerrithub,1
5,0.807,0.311,0.732,0.775,0.986,0.959,0.784,0.863,0.248,0.682,0.364,LR_old,train,best_performance_model,Gerrithub,1
1,0.786,0.291,0.706,0.693,0.993,0.942,0.688,0.795,0.264,0.724,0.387,LR_old,test,best_performance_model,Gerrithub,1
2,0.784,0.301,0.719,0.72,0.983,0.95,0.72,0.819,0.258,0.718,0.379,LR_old,test,best_performance_model,Gerrithub,1
3,0.81,0.309,0.725,0.729,0.985,0.952,0.73,0.827,0.261,0.72,0.383,LR_old,test,best_performance_model,Gerrithub,1
4,0.811,0.291,0.722,0.691,0.988,0.958,0.681,0.796,0.231,0.764,0.355,LR_old,test,best_performance_model,Gerrithub,1
5,0.802,0.289,0.717,0.686,0.988,0.956,0.676,0.792,0.236,0.761,0.36,LR_old,test,best_performance_model,Gerrithub,1
1,0.975,0.671,0.91,0.919,1,0.988,0.922,0.954,0.561,0.899,0.691,LGBM_new,train,best_performance_model,Gerrithub,0
2,0.97,0.672,0.899,0.915,1,0.984,0.92,0.951,0.582,0.879,0.701,LGBM_new,train,best_performance_model,Gerrithub,0
3,0.97,0.703,0.902,0.921,1,0.982,0.927,0.953,0.633,0.878,0.735,LGBM_new,train,best_performance_model,Gerrithub,0
4,0.972,0.723,0.903,0.926,1,0.98,0.934,0.956,0.668,0.873,0.757,LGBM_new,train,best_performance_model,Gerrithub,0
5,0.975,0.723,0.909,0.927,1,0.983,0.933,0.957,0.657,0.885,0.754,LGBM_new,train,best_performance_model,Gerrithub,0
1,0.858,0.487,0.773,0.857,0.985,0.946,0.886,0.915,0.477,0.674,0.559,LGBM_new,test,best_performance_model,Gerrithub,0
2,0.851,0.486,0.74,0.884,0.992,0.944,0.924,0.934,0.513,0.592,0.55,LGBM_new,test,best_performance_model,Gerrithub,0
3,0.889,0.538,0.782,0.895,0.995,0.954,0.926,0.94,0.541,0.66,0.595,LGBM_new,test,best_performance_model,Gerrithub,0
4,0.886,0.541,0.803,0.892,0.99,0.961,0.915,0.938,0.511,0.704,0.592,LGBM_new,test,best_performance_model,Gerrithub,0
5,0.907,0.648,0.813,0.928,0.995,0.959,0.959,0.959,0.688,0.69,0.689,LGBM_new,test,best_performance_model,Gerrithub,0
1,0.971,0.633,0.908,0.906,1,0.99,0.906,0.946,0.503,0.909,0.647,LGBM_old,train,best_performance_model,Gerrithub,0
2,0.971,0.633,0.908,0.906,1,0.99,0.906,0.946,0.503,0.909,0.647,LGBM_old,train,best_performance_model,Gerrithub,0
3,0.971,0.633,0.908,0.906,1,0.99,0.906,0.946,0.503,0.909,0.647,LGBM_old,train,best_performance_model,Gerrithub,0
4,0.971,0.633,0.908,0.906,1,0.99,0.906,0.946,0.503,0.909,0.647,LGBM_old,train,best_performance_model,Gerrithub,0
5,0.971,0.633,0.908,0.906,1,0.99,0.906,0.946,0.503,0.909,0.647,LGBM_old,train,best_performance_model,Gerrithub,0
1,0.84,0.401,0.743,0.812,0.985,0.941,0.835,0.885,0.383,0.662,0.485,LGBM_old,test,best_performance_model,Gerrithub,0
2,0.828,0.398,0.71,0.851,0.983,0.938,0.889,0.913,0.409,0.567,0.475,LGBM_old,test,best_performance_model,Gerrithub,0
3,0.861,0.471,0.764,0.868,0.99,0.951,0.896,0.923,0.453,0.651,0.535,LGBM_old,test,best_performance_model,Gerrithub,0
4,0.86,0.418,0.76,0.838,0.988,0.954,0.859,0.904,0.374,0.672,0.481,LGBM_old,test,best_performance_model,Gerrithub,0
5,0.866,0.464,0.781,0.853,0.982,0.957,0.874,0.913,0.42,0.698,0.525,LGBM_old,test,best_performance_model,Gerrithub,0
1,0.975,0.671,0.91,0.919,1,0.988,0.922,0.954,0.561,0.899,0.691,LGBM_new,train,best_performance_model,Gerrithub,1
2,0.97,0.672,0.899,0.915,1,0.984,0.92,0.951,0.582,0.879,0.701,LGBM_new,train,best_performance_model,Gerrithub,1
3,0.97,0.703,0.902,0.921,1,0.982,0.927,0.953,0.633,0.878,0.735,LGBM_new,train,best_performance_model,Gerrithub,1
4,0.972,0.723,0.903,0.926,1,0.98,0.934,0.956,0.668,0.873,0.757,LGBM_new,train,best_performance_model,Gerrithub,1
5,0.975,0.723,0.909,0.927,1,0.983,0.933,0.957,0.657,0.885,0.754,LGBM_new,train,best_performance_model,Gerrithub,1
1,0.858,0.487,0.773,0.857,0.985,0.946,0.886,0.915,0.477,0.674,0.559,LGBM_new,test,best_performance_model,Gerrithub,1
2,0.851,0.486,0.74,0.884,0.992,0.944,0.924,0.934,0.513,0.592,0.55,LGBM_new,test,best_performance_model,Gerrithub,1
3,0.889,0.538,0.782,0.895,0.995,0.954,0.926,0.94,0.541,0.66,0.595,LGBM_new,test,best_performance_model,Gerrithub,1
4,0.886,0.541,0.803,0.892,0.99,0.961,0.915,0.938,0.511,0.704,0.592,LGBM_new,test,best_performance_model,Gerrithub,1
5,0.907,0.648,0.813,0.928,0.995,0.959,0.959,0.959,0.688,0.69,0.689,LGBM_new,test,best_performance_model,Gerrithub,1
1,0.971,0.633,0.908,0.906,1,0.99,0.906,0.946,0.503,0.909,0.647,LGBM_old,train,best_performance_model,Gerrithub,1
2,0.971,0.633,0.908,0.906,1,0.99,0.906,0.946,0.503,0.909,0.647,LGBM_old,train,best_performance_model,Gerrithub,1
3,0.971,0.633,0.908,0.906,1,0.99,0.906,0.946,0.503,0.909,0.647,LGBM_old,train,best_performance_model,Gerrithub,1
4,0.971,0.633,0.908,0.906,1,0.99,0.906,0.946,0.503,0.909,0.647,LGBM_old,train,best_performance_model,Gerrithub,1
5,0.971,0.633,0.908,0.906,1,0.99,0.906,0.946,0.503,0.909,0.647,LGBM_old,train,best_performance_model,Gerrithub,1
1,0.84,0.401,0.743,0.812,0.985,0.941,0.835,0.885,0.383,0.662,0.485,LGBM_old,test,best_performance_model,Gerrithub,1
2,0.828,0.398,0.71,0.851,0.983,0.938,0.889,0.913,0.409,0.567,0.475,LGBM_old,test,best_performance_model,Gerrithub,1
3,0.861,0.471,0.764,0.868,0.99,0.951,0.896,0.923,0.453,0.651,0.535,LGBM_old,test,best_performance_model,Gerrithub,1
4,0.86,0.418,0.76,0.838,0.988,0.954,0.859,0.904,0.374,0.672,0.481,LGBM_old,test,best_performance_model,Gerrithub,1
5,0.866,0.464,0.781,0.853,0.982,0.957,0.874,0.913,0.42,0.698,0.525,LGBM_old,test,best_performance_model,Gerrithub,1
