fold,auc,MCC,G,accuracy,cost_effectiveness,precision_m,recall_m,f1_score_m,precision_a,recall_a,f1_score_a,algorithm,train_or_test,model_id,project,run
2,0.854,0.398,0.675,0.913,0.992,0.959,0.947,0.953,0.412,0.481,0.444,DT_new,test,best_performance_model,Libreoffice,1
3,0.869,0.421,0.775,0.887,0.988,0.973,0.903,0.937,0.338,0.666,0.448,DT_new,test,best_performance_model,Libreoffice,1
4,0.894,0.469,0.772,0.904,1,0.969,0.926,0.947,0.417,0.644,0.506,DT_new,test,best_performance_model,Libreoffice,1
5,0.884,0.351,0.809,0.864,0.99,0.987,0.869,0.924,0.211,0.753,0.33,DT_new,test,best_performance_model,Libreoffice,1
1,0.807,0.317,0.732,0.756,0.984,0.956,0.763,0.848,0.259,0.703,0.379,DT_old,train,best_performance_model,Libreoffice,1
2,0.81,0.357,0.715,0.832,0.982,0.947,0.86,0.901,0.333,0.595,0.427,DT_old,train,best_performance_model,Libreoffice,1
3,0.816,0.301,0.734,0.699,0.985,0.964,0.69,0.804,0.229,0.78,0.354,DT_old,train,best_performance_model,Libreoffice,1
4,0.834,0.326,0.752,0.71,0.988,0.969,0.698,0.812,0.24,0.809,0.371,DT_old,train,best_performance_model,Libreoffice,1
5,0.819,0.321,0.738,0.753,0.988,0.958,0.756,0.845,0.259,0.72,0.38,DT_old,train,best_performance_model,Libreoffice,1
1,0.846,0.392,0.755,0.862,0.989,0.966,0.881,0.921,0.324,0.647,0.432,DT_old,test,best_performance_model,Libreoffice,1
2,0.865,0.443,0.721,0.915,0.996,0.964,0.944,0.954,0.432,0.552,0.484,DT_old,test,best_performance_model,Libreoffice,1
3,0.833,0.339,0.741,0.85,0.984,0.97,0.866,0.915,0.26,0.635,0.369,DT_old,test,best_performance_model,Libreoffice,1
4,0.879,0.403,0.777,0.863,0.993,0.972,0.877,0.922,0.315,0.688,0.432,DT_old,test,best_performance_model,Libreoffice,1
5,0.882,0.341,0.775,0.881,0.999,0.983,0.891,0.935,0.223,0.674,0.335,DT_old,test,best_performance_model,Libreoffice,1
1,0.833,0.341,0.746,0.792,0.99,0.96,0.802,0.874,0.275,0.694,0.393,ET_new,train,best_performance_model,Libreoffice,0
2,0.841,0.346,0.755,0.792,0.99,0.964,0.8,0.874,0.269,0.712,0.391,ET_new,train,best_performance_model,Libreoffice,0
3,0.853,0.353,0.764,0.802,0.994,0.968,0.81,0.882,0.267,0.721,0.39,ET_new,train,best_performance_model,Libreoffice,0
4,0.924,0.503,0.835,0.892,1,0.98,0.902,0.939,0.394,0.774,0.523,ET_new,train,best_performance_model,Libreoffice,0
5,1,1,1,1,1,1,1,1,1,1,1,ET_new,train,best_performance_model,Libreoffice,0
1,0.855,0.434,0.741,0.895,0.999,0.963,0.921,0.942,0.402,0.597,0.48,ET_new,test,best_performance_model,Libreoffice,0
2,0.86,0.425,0.735,0.904,1,0.966,0.929,0.947,0.388,0.582,0.466,ET_new,test,best_performance_model,Libreoffice,0
3,0.873,0.454,0.746,0.915,0.997,0.969,0.939,0.954,0.42,0.592,0.491,ET_new,test,best_performance_model,Libreoffice,0
4,0.899,0.525,0.777,0.924,1,0.969,0.948,0.959,0.502,0.637,0.561,ET_new,test,best_performance_model,Libreoffice,0
5,0.912,0.688,0.696,0.977,0.998,0.977,1,0.988,1,0.485,0.653,ET_new,test,best_performance_model,Libreoffice,0
1,0.891,0.448,0.795,0.841,0.998,0.965,0.853,0.906,0.373,0.741,0.496,ET_old,train,best_performance_model,Libreoffice,0
2,0.892,0.451,0.796,0.843,0.998,0.966,0.855,0.907,0.376,0.742,0.499,ET_old,train,best_performance_model,Libreoffice,0
3,0.892,0.457,0.799,0.845,0.998,0.966,0.857,0.908,0.381,0.744,0.504,ET_old,train,best_performance_model,Libreoffice,0
4,0.894,0.452,0.798,0.842,0.998,0.966,0.854,0.907,0.376,0.745,0.5,ET_old,train,best_performance_model,Libreoffice,0
5,0.893,0.454,0.799,0.843,0.998,0.966,0.854,0.907,0.377,0.747,0.501,ET_old,train,best_performance_model,Libreoffice,0
1,0.856,0.472,0.713,0.919,0.997,0.959,0.953,0.956,0.5,0.534,0.516,ET_old,test,best_performance_model,Libreoffice,0
2,0.854,0.495,0.706,0.934,0.995,0.963,0.966,0.964,0.544,0.516,0.53,ET_old,test,best_performance_model,Libreoffice,0
3,0.877,0.541,0.715,0.945,0.999,0.965,0.976,0.971,0.621,0.524,0.568,ET_old,test,best_performance_model,Libreoffice,0
4,0.88,0.586,0.747,0.945,0.998,0.965,0.976,0.97,0.661,0.572,0.613,ET_old,test,best_performance_model,Libreoffice,0
5,0.877,0.572,0.722,0.967,0.998,0.978,0.987,0.983,0.656,0.529,0.585,ET_old,test,best_performance_model,Libreoffice,0
1,0.833,0.34,0.745,0.791,0.99,0.96,0.802,0.874,0.274,0.692,0.392,ET_new,train,best_performance_model,Libreoffice,1
2,0.844,0.35,0.758,0.793,0.991,0.965,0.801,0.875,0.272,0.716,0.394,ET_new,train,best_performance_model,Libreoffice,1
3,0.853,0.359,0.765,0.808,0.994,0.968,0.817,0.886,0.274,0.716,0.396,ET_new,train,best_performance_model,Libreoffice,1
4,0.922,0.499,0.834,0.89,1,0.98,0.9,0.938,0.39,0.773,0.518,ET_new,train,best_performance_model,Libreoffice,1
5,1,1,1,1,1,1,1,1,1,1,1,ET_new,train,best_performance_model,Libreoffice,1
1,0.857,0.446,0.752,0.896,0.999,0.964,0.921,0.942,0.408,0.614,0.49,ET_new,test,best_performance_model,Libreoffice,1
2,0.86,0.426,0.743,0.901,1,0.967,0.924,0.945,0.381,0.598,0.465,ET_new,test,best_performance_model,Libreoffice,1
3,0.873,0.435,0.74,0.91,0.999,0.968,0.934,0.951,0.397,0.586,0.473,ET_new,test,best_performance_model,Libreoffice,1
4,0.897,0.522,0.775,0.924,1,0.969,0.948,0.958,0.5,0.634,0.559,ET_new,test,best_performance_model,Libreoffice,1
5,0.916,0.688,0.696,0.977,0.999,0.977,1,0.988,1,0.485,0.653,ET_new,test,best_performance_model,Libreoffice,1
1,0.893,0.451,0.799,0.84,0.998,0.966,0.851,0.905,0.373,0.75,0.498,ET_old,train,best_performance_model,Libreoffice,1
2,0.892,0.452,0.795,0.844,0.998,0.965,0.857,0.908,0.378,0.737,0.5,ET_old,train,best_performance_model,Libreoffice,1
3,0.814,0.317,0.726,0.77,0.984,0.953,0.781,0.859,0.267,0.675,0.383,ET_old,train,best_performance_model,Libreoffice,1
4,0.891,0.446,0.793,0.842,0.998,0.965,0.854,0.906,0.373,0.735,0.495,ET_old,train,best_performance_model,Libreoffice,1
5,0.892,0.449,0.793,0.843,0.998,0.965,0.856,0.907,0.376,0.735,0.498,ET_old,train,best_performance_model,Libreoffice,1
1,0.854,0.468,0.708,0.919,0.998,0.958,0.953,0.956,0.499,0.527,0.512,ET_old,test,best_performance_model,Libreoffice,1
2,0.857,0.499,0.7,0.936,0.998,0.962,0.969,0.966,0.562,0.505,0.532,ET_old,test,best_performance_model,Libreoffice,1
3,0.872,0.529,0.73,0.94,0.998,0.967,0.969,0.968,0.572,0.55,0.561,ET_old,test,best_performance_model,Libreoffice,1
4,0.875,0.573,0.746,0.943,0.998,0.965,0.973,0.969,0.636,0.572,0.602,ET_old,test,best_performance_model,Libreoffice,1
5,0.875,0.577,0.728,0.967,0.997,0.979,0.987,0.983,0.656,0.537,0.591,ET_old,test,best_performance_model,Libreoffice,1
1,0.811,0.308,0.735,0.752,0.988,0.961,0.756,0.846,0.24,0.715,0.36,LR_new,train,best_performance_model,Libreoffice,0
2,0.82,0.315,0.742,0.761,0.986,0.963,0.766,0.853,0.241,0.719,0.361,LR_new,train,best_performance_model,Libreoffice,0
3,0.827,0.319,0.746,0.777,0.987,0.966,0.784,0.865,0.24,0.711,0.359,LR_new,train,best_performance_model,Libreoffice,0
4,0.835,0.305,0.748,0.781,0.99,0.97,0.787,0.869,0.216,0.711,0.331,LR_new,train,best_performance_model,Libreoffice,0
5,0.847,0.303,0.748,0.784,0.993,0.971,0.79,0.871,0.213,0.708,0.328,LR_new,train,best_performance_model,Libreoffice,0
1,0.845,0.387,0.748,0.864,0.991,0.965,0.884,0.922,0.325,0.633,0.43,LR_new,test,best_performance_model,Libreoffice,0
2,0.828,0.335,0.738,0.843,0.992,0.968,0.859,0.91,0.259,0.633,0.368,LR_new,test,best_performance_model,Libreoffice,0
3,0.852,0.366,0.725,0.882,0.995,0.967,0.904,0.934,0.31,0.581,0.404,LR_new,test,best_performance_model,Libreoffice,0
4,0.856,0.318,0.731,0.824,1,0.966,0.84,0.898,0.247,0.637,0.355,LR_new,test,best_performance_model,Libreoffice,0
5,0.881,0.324,0.77,0.871,1,0.983,0.88,0.929,0.207,0.674,0.317,LR_new,test,best_performance_model,Libreoffice,0
1,0.789,0.291,0.723,0.719,0.983,0.957,0.719,0.821,0.234,0.726,0.353,LR_old,train,best_performance_model,Libreoffice,0
2,0.789,0.291,0.722,0.72,0.983,0.957,0.719,0.821,0.233,0.726,0.353,LR_old,train,best_performance_model,Libreoffice,0
3,0.789,0.291,0.723,0.719,0.983,0.957,0.719,0.821,0.233,0.726,0.353,LR_old,train,best_performance_model,Libreoffice,0
4,0.789,0.291,0.723,0.72,0.983,0.957,0.719,0.821,0.234,0.726,0.353,LR_old,train,best_performance_model,Libreoffice,0
5,0.789,0.291,0.723,0.72,0.983,0.957,0.719,0.821,0.234,0.726,0.353,LR_old,train,best_performance_model,Libreoffice,0
1,0.842,0.347,0.727,0.847,0.991,0.962,0.869,0.913,0.29,0.609,0.393,LR_old,test,best_performance_model,Libreoffice,0
2,0.812,0.302,0.731,0.814,0.987,0.968,0.827,0.892,0.225,0.647,0.334,LR_old,test,best_performance_model,Libreoffice,0
3,0.824,0.281,0.721,0.806,0.986,0.968,0.819,0.887,0.207,0.635,0.312,LR_old,test,best_performance_model,Libreoffice,0
4,0.827,0.283,0.716,0.799,1,0.964,0.812,0.882,0.217,0.631,0.323,LR_old,test,best_performance_model,Libreoffice,0
5,0.865,0.285,0.742,0.857,1,0.981,0.867,0.92,0.182,0.634,0.283,LR_old,test,best_performance_model,Libreoffice,0
1,0.811,0.308,0.735,0.752,0.988,0.961,0.756,0.846,0.24,0.715,0.36,LR_new,train,best_performance_model,Libreoffice,1
2,0.82,0.315,0.742,0.762,0.986,0.963,0.766,0.853,0.241,0.719,0.361,LR_new,train,best_performance_model,Libreoffice,1
3,0.827,0.319,0.746,0.777,0.987,0.966,0.784,0.865,0.24,0.71,0.359,LR_new,train,best_performance_model,Libreoffice,1
4,0.835,0.305,0.748,0.781,0.99,0.97,0.787,0.869,0.216,0.711,0.331,LR_new,train,best_performance_model,Libreoffice,1
5,0.847,0.303,0.748,0.784,0.993,0.971,0.79,0.871,0.213,0.708,0.328,LR_new,train,best_performance_model,Libreoffice,1
1,0.845,0.387,0.748,0.864,0.991,0.965,0.884,0.922,0.325,0.633,0.43,LR_new,test,best_performance_model,Libreoffice,1
2,0.828,0.335,0.738,0.843,0.992,0.968,0.859,0.91,0.259,0.633,0.368,LR_new,test,best_performance_model,Libreoffice,1
3,0.851,0.366,0.724,0.881,0.995,0.967,0.904,0.934,0.31,0.581,0.404,LR_new,test,best_performance_model,Libreoffice,1
4,0.856,0.318,0.731,0.824,1,0.966,0.84,0.898,0.247,0.637,0.355,LR_new,test,best_performance_model,Libreoffice,1
5,0.881,0.324,0.77,0.871,1,0.983,0.88,0.929,0.207,0.674,0.317,LR_new,test,best_performance_model,Libreoffice,1
1,0.789,0.291,0.723,0.719,0.983,0.957,0.719,0.821,0.234,0.726,0.353,LR_old,train,best_performance_model,Libreoffice,1
2,0.789,0.291,0.723,0.719,0.983,0.957,0.719,0.821,0.233,0.726,0.353,LR_old,train,best_performance_model,Libreoffice,1
3,0.789,0.291,0.723,0.719,0.983,0.957,0.719,0.821,0.233,0.726,0.353,LR_old,train,best_performance_model,Libreoffice,1
4,0.789,0.291,0.723,0.719,0.983,0.957,0.719,0.821,0.233,0.726,0.353,LR_old,train,best_performance_model,Libreoffice,1
5,0.789,0.291,0.723,0.719,0.983,0.957,0.719,0.821,0.234,0.726,0.353,LR_old,train,best_performance_model,Libreoffice,1
1,0.842,0.347,0.727,0.847,0.991,0.962,0.869,0.913,0.29,0.609,0.393,LR_old,test,best_performance_model,Libreoffice,1
2,0.812,0.302,0.731,0.814,0.988,0.968,0.827,0.892,0.225,0.647,0.334,LR_old,test,best_performance_model,Libreoffice,1
3,0.824,0.281,0.721,0.806,0.986,0.968,0.819,0.887,0.206,0.635,0.312,LR_old,test,best_performance_model,Libreoffice,1
4,0.827,0.283,0.716,0.799,1,0.964,0.812,0.882,0.217,0.631,0.323,LR_old,test,best_performance_model,Libreoffice,1
5,0.865,0.285,0.742,0.856,1,0.981,0.867,0.92,0.182,0.634,0.282,LR_old,test,best_performance_model,Libreoffice,1
1,0.856,0.392,0.76,0.834,0.992,0.961,0.851,0.902,0.329,0.679,0.443,RF_new,train,best_performance_model,Libreoffice,0
2,0.864,0.403,0.778,0.833,0.994,0.967,0.844,0.901,0.323,0.717,0.445,RF_new,train,best_performance_model,Libreoffice,0
3,0.877,0.406,0.779,0.845,0.997,0.968,0.859,0.91,0.324,0.706,0.445,RF_new,train,best_performance_model,Libreoffice,0
4,0.888,0.438,0.789,0.879,0.999,0.973,0.894,0.932,0.353,0.695,0.468,RF_new,train,best_performance_model,Libreoffice,0
5,0.973,0.709,0.889,0.955,1,0.985,0.966,0.975,0.657,0.818,0.729,RF_new,train,best_performance_model,Libreoffice,0
1,0.858,0.447,0.741,0.901,0.999,0.963,0.928,0.945,0.421,0.592,0.492,RF_new,test,best_performance_model,Libreoffice,0
2,0.872,0.452,0.75,0.909,0.999,0.968,0.933,0.95,0.413,0.603,0.49,RF_new,test,best_performance_model,Libreoffice,0
3,0.887,0.519,0.781,0.927,0.998,0.973,0.949,0.961,0.482,0.643,0.551,RF_new,test,best_performance_model,Libreoffice,0
4,0.904,0.496,0.777,0.914,1,0.97,0.936,0.953,0.455,0.644,0.533,RF_new,test,best_performance_model,Libreoffice,0
5,0.907,0.619,0.727,0.971,1,0.979,0.992,0.985,0.752,0.533,0.624,RF_new,test,best_performance_model,Libreoffice,0
1,0.85,0.391,0.745,0.836,0.987,0.954,0.859,0.904,0.35,0.646,0.454,RF_old,train,best_performance_model,Libreoffice,0
2,0.85,0.395,0.748,0.836,0.987,0.954,0.858,0.904,0.352,0.651,0.457,RF_old,train,best_performance_model,Libreoffice,0
3,0.85,0.391,0.745,0.836,0.986,0.954,0.858,0.903,0.349,0.647,0.454,RF_old,train,best_performance_model,Libreoffice,0
4,0.85,0.392,0.745,0.836,0.987,0.954,0.859,0.904,0.35,0.645,0.454,RF_old,train,best_performance_model,Libreoffice,0
5,0.85,0.395,0.745,0.838,0.987,0.954,0.861,0.905,0.354,0.645,0.457,RF_old,train,best_performance_model,Libreoffice,0
1,0.864,0.476,0.738,0.914,0.994,0.962,0.943,0.952,0.473,0.577,0.52,RF_old,test,best_performance_model,Libreoffice,0
2,0.871,0.466,0.72,0.924,0.998,0.964,0.953,0.959,0.474,0.543,0.506,RF_old,test,best_performance_model,Libreoffice,0
3,0.88,0.547,0.763,0.939,0.995,0.97,0.964,0.967,0.556,0.603,0.579,RF_old,test,best_performance_model,Libreoffice,0
4,0.893,0.542,0.757,0.934,0.998,0.967,0.962,0.964,0.561,0.595,0.577,RF_old,test,best_performance_model,Libreoffice,0
5,0.889,0.521,0.739,0.958,0.999,0.979,0.977,0.978,0.527,0.559,0.543,RF_old,test,best_performance_model,Libreoffice,0
1,0.855,0.39,0.758,0.834,0.991,0.961,0.851,0.902,0.328,0.676,0.442,RF_new,train,best_performance_model,Libreoffice,1
2,0.865,0.4,0.775,0.832,0.994,0.966,0.845,0.901,0.322,0.711,0.443,RF_new,train,best_performance_model,Libreoffice,1
3,0.877,0.404,0.777,0.845,0.997,0.968,0.858,0.91,0.323,0.703,0.443,RF_new,train,best_performance_model,Libreoffice,1
4,0.888,0.437,0.791,0.877,0.999,0.973,0.892,0.931,0.35,0.701,0.467,RF_new,train,best_performance_model,Libreoffice,1
5,0.975,0.721,0.891,0.957,1,0.985,0.968,0.977,0.675,0.82,0.74,RF_new,train,best_performance_model,Libreoffice,1
1,0.857,0.45,0.742,0.902,0.998,0.963,0.929,0.946,0.425,0.592,0.495,RF_new,test,best_performance_model,Libreoffice,1
2,0.874,0.449,0.739,0.912,1,0.966,0.938,0.952,0.422,0.582,0.489,RF_new,test,best_performance_model,Libreoffice,1
3,0.888,0.512,0.774,0.927,0.999,0.972,0.949,0.96,0.48,0.632,0.545,RF_new,test,best_performance_model,Libreoffice,1
4,0.903,0.488,0.777,0.911,1,0.97,0.933,0.951,0.441,0.647,0.525,RF_new,test,best_performance_model,Libreoffice,1
5,0.911,0.627,0.73,0.972,1,0.979,0.992,0.985,0.762,0.537,0.63,RF_new,test,best_performance_model,Libreoffice,1
1,0.85,0.396,0.745,0.839,0.987,0.954,0.862,0.906,0.355,0.644,0.458,RF_old,train,best_performance_model,Libreoffice,1
2,0.849,0.392,0.744,0.837,0.987,0.953,0.86,0.904,0.352,0.643,0.455,RF_old,train,best_performance_model,Libreoffice,1
3,0.849,0.392,0.744,0.838,0.987,0.953,0.861,0.905,0.353,0.643,0.455,RF_old,train,best_performance_model,Libreoffice,1
4,0.847,0.389,0.741,0.837,0.987,0.953,0.861,0.904,0.351,0.637,0.452,RF_old,train,best_performance_model,Libreoffice,1
5,0.846,0.388,0.742,0.835,0.987,0.953,0.858,0.903,0.348,0.641,0.451,RF_old,train,best_performance_model,Libreoffice,1
1,0.864,0.472,0.736,0.913,0.997,0.962,0.943,0.952,0.469,0.575,0.517,RF_old,test,best_performance_model,Libreoffice,1
2,0.871,0.468,0.72,0.924,0.997,0.964,0.954,0.959,0.476,0.543,0.508,RF_old,test,best_performance_model,Libreoffice,1
3,0.881,0.528,0.742,0.938,0.997,0.968,0.966,0.967,0.554,0.569,0.561,RF_old,test,best_performance_model,Libreoffice,1
4,0.894,0.553,0.755,0.937,1,0.966,0.965,0.966,0.584,0.59,0.587,RF_old,test,best_performance_model,Libreoffice,1
5,0.887,0.541,0.738,0.961,1,0.979,0.98,0.98,0.568,0.555,0.561,RF_old,test,best_performance_model,Libreoffice,1
