fold,auc,MCC,G,accuracy,cost_effectiveness,precision_m,recall_m,f1_score_m,precision_a,recall_a,f1_score_a,algorithm,train_or_test,model_id,project,run
1,0.934,0.495,0.849,0.843,1,0.982,0.842,0.907,0.369,0.857,0.516,LGBM_new,train,best_performance_model,Libreoffice,0
2,0.942,0.521,0.864,0.859,1,0.984,0.858,0.917,0.388,0.869,0.537,LGBM_new,train,best_performance_model,Libreoffice,0
3,0.95,0.536,0.877,0.87,1,0.987,0.869,0.924,0.394,0.886,0.545,LGBM_new,train,best_performance_model,Libreoffice,0
4,0.962,0.561,0.893,0.894,1,0.99,0.894,0.939,0.41,0.892,0.562,LGBM_new,train,best_performance_model,Libreoffice,0
5,0.973,0.623,0.913,0.919,1,0.992,0.92,0.955,0.478,0.906,0.626,LGBM_new,train,best_performance_model,Libreoffice,0
1,0.877,0.451,0.762,0.895,0.998,0.966,0.918,0.941,0.404,0.633,0.493,LGBM_new,test,best_performance_model,Libreoffice,0
2,0.88,0.423,0.762,0.891,0.999,0.97,0.91,0.939,0.356,0.639,0.457,LGBM_new,test,best_performance_model,Libreoffice,0
3,0.896,0.481,0.769,0.918,0.999,0.971,0.939,0.955,0.435,0.629,0.514,LGBM_new,test,best_performance_model,Libreoffice,0
4,0.905,0.501,0.786,0.913,1,0.971,0.934,0.952,0.451,0.662,0.537,LGBM_new,test,best_performance_model,Libreoffice,0
5,0.913,0.543,0.772,0.958,1,0.982,0.974,0.978,0.521,0.612,0.563,LGBM_new,test,best_performance_model,Libreoffice,0
1,0.927,0.493,0.84,0.837,1,0.978,0.837,0.902,0.379,0.844,0.523,LGBM_old,train,best_performance_model,Libreoffice,0
2,0.927,0.493,0.84,0.837,1,0.978,0.837,0.902,0.379,0.844,0.523,LGBM_old,train,best_performance_model,Libreoffice,0
3,0.927,0.493,0.84,0.837,1,0.978,0.837,0.902,0.379,0.844,0.523,LGBM_old,train,best_performance_model,Libreoffice,0
4,0.927,0.493,0.84,0.837,1,0.978,0.837,0.902,0.379,0.844,0.523,LGBM_old,train,best_performance_model,Libreoffice,0
5,0.927,0.493,0.84,0.837,1,0.978,0.837,0.902,0.379,0.844,0.523,LGBM_old,train,best_performance_model,Libreoffice,0
1,0.868,0.462,0.755,0.903,0.998,0.965,0.928,0.946,0.43,0.614,0.505,LGBM_old,test,best_performance_model,Libreoffice,0
2,0.863,0.455,0.741,0.914,0.992,0.967,0.94,0.953,0.429,0.584,0.495,LGBM_old,test,best_performance_model,Libreoffice,0
3,0.885,0.509,0.753,0.931,0.997,0.969,0.957,0.963,0.504,0.592,0.544,LGBM_old,test,best_performance_model,Libreoffice,0
4,0.899,0.521,0.752,0.929,0.998,0.966,0.957,0.961,0.53,0.59,0.559,LGBM_old,test,best_performance_model,Libreoffice,0
5,0.885,0.5,0.748,0.953,0.999,0.98,0.97,0.975,0.476,0.577,0.522,LGBM_old,test,best_performance_model,Libreoffice,0
1,0.934,0.495,0.849,0.843,1,0.982,0.842,0.907,0.369,0.857,0.516,LGBM_new,train,best_performance_model,Libreoffice,1
2,0.942,0.521,0.864,0.859,1,0.984,0.858,0.917,0.388,0.869,0.537,LGBM_new,train,best_performance_model,Libreoffice,1
3,0.95,0.536,0.877,0.87,1,0.987,0.869,0.924,0.394,0.886,0.545,LGBM_new,train,best_performance_model,Libreoffice,1
4,0.962,0.561,0.893,0.894,1,0.99,0.894,0.939,0.41,0.892,0.562,LGBM_new,train,best_performance_model,Libreoffice,1
5,0.973,0.623,0.913,0.919,1,0.992,0.92,0.955,0.478,0.906,0.626,LGBM_new,train,best_performance_model,Libreoffice,1
1,0.877,0.451,0.762,0.895,0.998,0.966,0.918,0.941,0.404,0.633,0.493,LGBM_new,test,best_performance_model,Libreoffice,1
2,0.88,0.423,0.762,0.891,0.999,0.97,0.91,0.939,0.356,0.639,0.457,LGBM_new,test,best_performance_model,Libreoffice,1
3,0.896,0.481,0.769,0.918,0.999,0.971,0.939,0.955,0.435,0.629,0.514,LGBM_new,test,best_performance_model,Libreoffice,1
4,0.905,0.501,0.786,0.913,1,0.971,0.934,0.952,0.451,0.662,0.537,LGBM_new,test,best_performance_model,Libreoffice,1
5,0.913,0.543,0.772,0.958,1,0.982,0.974,0.978,0.521,0.612,0.563,LGBM_new,test,best_performance_model,Libreoffice,1
1,0.927,0.493,0.84,0.837,1,0.978,0.837,0.902,0.379,0.844,0.523,LGBM_old,train,best_performance_model,Libreoffice,1
2,0.927,0.493,0.84,0.837,1,0.978,0.837,0.902,0.379,0.844,0.523,LGBM_old,train,best_performance_model,Libreoffice,1
3,0.927,0.493,0.84,0.837,1,0.978,0.837,0.902,0.379,0.844,0.523,LGBM_old,train,best_performance_model,Libreoffice,1
4,0.927,0.493,0.84,0.837,1,0.978,0.837,0.902,0.379,0.844,0.523,LGBM_old,train,best_performance_model,Libreoffice,1
5,0.927,0.493,0.84,0.837,1,0.978,0.837,0.902,0.379,0.844,0.523,LGBM_old,train,best_performance_model,Libreoffice,1
1,0.868,0.462,0.755,0.903,0.998,0.965,0.928,0.946,0.43,0.614,0.505,LGBM_old,test,best_performance_model,Libreoffice,1
2,0.863,0.455,0.741,0.914,0.992,0.967,0.94,0.953,0.429,0.584,0.495,LGBM_old,test,best_performance_model,Libreoffice,1
3,0.885,0.509,0.753,0.931,0.997,0.969,0.957,0.963,0.504,0.592,0.544,LGBM_old,test,best_performance_model,Libreoffice,1
4,0.899,0.521,0.752,0.929,0.998,0.966,0.957,0.961,0.53,0.59,0.559,LGBM_old,test,best_performance_model,Libreoffice,1
5,0.885,0.5,0.748,0.953,0.999,0.98,0.97,0.975,0.476,0.577,0.522,LGBM_old,test,best_performance_model,Libreoffice,1
1,0.788,0.28,0.721,0.721,0.99,0.96,0.72,0.823,0.218,0.722,0.335,DT_new,train,best_performance_model,Libreoffice,0
2,0.851,0.422,0.759,0.864,0.99,0.961,0.887,0.922,0.372,0.65,0.473,DT_new,train,best_performance_model,Libreoffice,0
3,0.845,0.382,0.758,0.841,0.991,0.964,0.858,0.908,0.312,0.671,0.426,DT_new,train,best_performance_model,Libreoffice,0
4,0.876,0.443,0.782,0.886,0.995,0.971,0.903,0.936,0.366,0.677,0.475,DT_new,train,best_performance_model,Libreoffice,0
5,0.897,0.379,0.808,0.806,0.996,0.982,0.805,0.885,0.251,0.812,0.384,DT_new,train,best_performance_model,Libreoffice,0
1,0.817,0.396,0.738,0.875,0.988,0.963,0.899,0.93,0.347,0.606,0.442,DT_new,test,best_performance_model,Libreoffice,0
2,0.854,0.398,0.675,0.913,0.992,0.959,0.947,0.953,0.412,0.481,0.444,DT_new,test,best_performance_model,Libreoffice,0
3,0.848,0.461,0.75,0.916,0.987,0.969,0.94,0.954,0.425,0.598,0.497,DT_new,test,best_performance_model,Libreoffice,0
4,0.894,0.469,0.772,0.904,1,0.969,0.926,0.947,0.417,0.644,0.506,DT_new,test,best_performance_model,Libreoffice,0
5,0.884,0.351,0.809,0.864,0.99,0.987,0.869,0.924,0.211,0.753,0.33,DT_new,test,best_performance_model,Libreoffice,0
1,0.808,0.35,0.731,0.809,0.976,0.952,0.828,0.886,0.307,0.645,0.416,DT_old,train,best_performance_model,Libreoffice,0
2,0.808,0.351,0.727,0.814,0.981,0.951,0.836,0.89,0.313,0.633,0.418,DT_old,train,best_performance_model,Libreoffice,0
3,0.807,0.336,0.733,0.788,0.976,0.954,0.802,0.871,0.285,0.67,0.4,DT_old,train,best_performance_model,Libreoffice,0
4,0.806,0.311,0.73,0.75,0.984,0.956,0.755,0.844,0.254,0.705,0.373,DT_old,train,best_performance_model,Libreoffice,0
5,0.804,0.333,0.726,0.794,0.981,0.952,0.811,0.876,0.289,0.65,0.4,DT_old,train,best_performance_model,Libreoffice,0
1,0.829,0.409,0.755,0.874,0.979,0.965,0.895,0.929,0.348,0.638,0.451,DT_old,test,best_performance_model,Libreoffice,0
2,0.801,0.403,0.714,0.902,0.978,0.964,0.929,0.946,0.375,0.549,0.446,DT_old,test,best_performance_model,Libreoffice,0
3,0.816,0.457,0.731,0.921,0.975,0.967,0.947,0.957,0.442,0.564,0.496,DT_old,test,best_performance_model,Libreoffice,0
4,0.81,0.434,0.759,0.893,0.958,0.968,0.915,0.941,0.378,0.629,0.472,DT_old,test,best_performance_model,Libreoffice,0
5,0.86,0.391,0.742,0.924,0.988,0.98,0.939,0.959,0.311,0.586,0.406,DT_old,test,best_performance_model,Libreoffice,0
1,0.819,0.312,0.721,0.787,0.985,0.955,0.802,0.872,0.261,0.649,0.372,DT_new,train,best_performance_model,Libreoffice,1
2,0.851,0.422,0.759,0.864,0.99,0.961,0.887,0.922,0.372,0.65,0.473,DT_new,train,best_performance_model,Libreoffice,1
3,0.85,0.362,0.776,0.796,0.992,0.971,0.8,0.877,0.266,0.754,0.393,DT_new,train,best_performance_model,Libreoffice,1
4,0.876,0.443,0.782,0.886,0.995,0.971,0.903,0.936,0.366,0.677,0.475,DT_new,train,best_performance_model,Libreoffice,1
5,0.897,0.379,0.808,0.806,0.996,0.982,0.805,0.885,0.251,0.812,0.384,DT_new,train,best_performance_model,Libreoffice,1
1,0.84,0.364,0.735,0.856,0.985,0.963,0.877,0.918,0.306,0.616,0.409,DT_new,test,best_performance_model,Libreoffice,1
