Source,Target,run,algorithm,MCC,f1_A,f1_M,model_id
Gerrithub,Libreoffice,0,DT,0.280831999,0.333131569,0.871108748,best_model_performance
Gerrithub,Libreoffice,1,DT,0.245372572,0.305782459,0.861972433,best_model_performance
Gerrithub,Libreoffice,2,DT,0.297885006,0.353334572,0.891274245,best_model_performance
Gerrithub,Libreoffice,3,DT,0.262433145,0.316722619,0.860137007,best_model_performance
Gerrithub,Libreoffice,4,DT,0.197970673,0.258092878,0.787051482,best_model_performance
Gerrithub,Libreoffice,0,RF,0.199412,0.257819534,0.781207806,best_model_performance
Gerrithub,Libreoffice,1,RF,0.196897025,0.254997134,0.773424151,best_model_performance
Gerrithub,Libreoffice,2,RF,0.19115557,0.250780398,0.767302503,best_model_performance
Gerrithub,Libreoffice,3,RF,0.190824943,0.250516432,0.766807287,best_model_performance
Gerrithub,Libreoffice,4,RF,0.19414612,0.253750866,0.774975639,best_model_performance
Gerrithub,Libreoffice,0,LR,0.037265579,0.161779575,0.091667131,best_model_performance
Gerrithub,Libreoffice,1,LR,0.037246337,0.161776803,0.09163169,best_model_performance
Gerrithub,Libreoffice,2,LR,0.037246337,0.161776803,0.09163169,best_model_performance
Gerrithub,Libreoffice,3,LR,0.037246337,0.161776803,0.09163169,best_model_performance
Gerrithub,Libreoffice,4,LR,0.037246337,0.161776803,0.09163169,best_model_performance
Gerrithub,Libreoffice,0,LGBM,0.204770428,0.258952543,0.771471552,best_model_performance
Gerrithub,Libreoffice,1,LGBM,0.204770428,0.258952543,0.771471552,best_model_performance
Gerrithub,Libreoffice,2,LGBM,0.204770428,0.258952543,0.771471552,best_model_performance
Gerrithub,Libreoffice,3,LGBM,0.204770428,0.258952543,0.771471552,best_model_performance
Gerrithub,Libreoffice,4,LGBM,0.204770428,0.258952543,0.771471552,best_model_performance
Gerrithub,Libreoffice,0,ET,0.308292578,0.35371517,0.875783657,best_model_performance
Gerrithub,Libreoffice,1,ET,0.27249745,0.320150846,0.851148895,best_model_performance
Gerrithub,Libreoffice,2,ET,0.31546012,0.362282019,0.883600337,best_model_performance
Gerrithub,Libreoffice,3,ET,0.28856401,0.333606054,0.859329462,best_model_performance
Gerrithub,Libreoffice,4,ET,0.295624745,0.341757304,0.86787526,best_model_performance
Gerrithub,Eclipse,0,DT,0.210424235,0.342791234,0.600711963,best_model_performance
Gerrithub,Eclipse,1,DT,0.211540209,0.343269475,0.600602874,best_model_performance
Gerrithub,Eclipse,2,DT,0.210424235,0.342791234,0.600711963,best_model_performance
Gerrithub,Eclipse,3,DT,0.210424235,0.342791234,0.600711963,best_model_performance
Gerrithub,Eclipse,4,DT,0.210424235,0.342791234,0.600711963,best_model_performance
Gerrithub,Eclipse,0,RF,0.261969634,0.378073421,0.690559189,best_model_performance
Gerrithub,Eclipse,1,RF,0.283856105,0.3944466,0.722041315,best_model_performance
Gerrithub,Eclipse,2,RF,0.259946095,0.37696445,0.689934323,best_model_performance
Gerrithub,Eclipse,3,RF,0.272713378,0.386529538,0.709611951,best_model_performance
Gerrithub,Eclipse,4,RF,0.264440557,0.380040216,0.69531636,best_model_performance
Gerrithub,Eclipse,0,LR,0.305367913,0.417025862,0.778785328,best_model_performance
Gerrithub,Eclipse,1,LR,0.305367913,0.417025862,0.778785328,best_model_performance
Gerrithub,Eclipse,2,LR,0.305367913,0.417025862,0.778785328,best_model_performance
Gerrithub,Eclipse,3,LR,0.305367913,0.417025862,0.778785328,best_model_performance
Gerrithub,Eclipse,4,LR,0.305385385,0.41703908,0.778800014,best_model_performance
Gerrithub,Eclipse,0,LGBM,0.284489715,0.398054317,0.740656654,best_model_performance
Gerrithub,Eclipse,1,LGBM,0.284489715,0.398054317,0.740656654,best_model_performance
Gerrithub,Eclipse,2,LGBM,0.284489715,0.398054317,0.740656654,best_model_performance
Gerrithub,Eclipse,3,LGBM,0.284489715,0.398054317,0.740656654,best_model_performance
Gerrithub,Eclipse,4,LGBM,0.284489715,0.398054317,0.740656654,best_model_performance
Gerrithub,Eclipse,0,ET,0.39540586,0.495547451,0.869446883,best_model_performance
Gerrithub,Eclipse,1,ET,0.337763711,0.442607959,0.806790566,best_model_performance
Gerrithub,Eclipse,2,ET,0.331745617,0.439141138,0.808037073,best_model_performance
Gerrithub,Eclipse,3,ET,0.338966233,0.44260759,0.803631219,best_model_performance
Gerrithub,Eclipse,4,ET,0.337338041,0.441188224,0.801828188,best_model_performance
