project_name,algorithm,run,model_id,MCC,f1_M,f1_A
Gerrithub,LR,4,best_model_performance,0.3820218667433263,0.9502672667305724,0.3184146069917614
Gerrithub,LGBM,0,best_model_performance,0.1481279684411474,0.9378868868706235,0.14874192830104654
Gerrithub,LGBM,1,best_model_performance,0.1481279684411474,0.9378868868706235,0.14874192830104654
Gerrithub,LGBM,2,best_model_performance,0.1481279684411474,0.9378868868706235,0.14874192830104654
Gerrithub,LGBM,3,best_model_performance,0.1481279684411474,0.9378868868706235,0.14874192830104654
Gerrithub,LGBM,4,best_model_performance,0.1481279684411474,0.9378868868706235,0.14874192830104654
Gerrithub,ET,0,best_model_performance,0.05370469554235887,0.9416253827778046,0.007090264521407145
Gerrithub,ET,1,best_model_performance,0.08229705949377698,0.9418669916769568,0.015748031496062992
Gerrithub,ET,2,best_model_performance,0.16802805072678112,0.9431962355661908,0.06254969520275641
Gerrithub,ET,3,best_model_performance,0.18150995883315504,0.9434859437751004,0.07176781002638524
Gerrithub,ET,4,best_model_performance,0.10448612779950943,0.9421238370227782,0.024864864864864864
