project_name,algorithm,run,model_id,MCC,f1_M,f1_A
Libreoffice,DT,0,best_model_performance,0.2932563140297532,0.8432757027847434,0.33016828053022473
Libreoffice,DT,1,best_model_performance,0.2932563140297532,0.8432757027847434,0.33016828053022473
Libreoffice,DT,2,best_model_performance,0.2932563140297532,0.8432757027847434,0.33016828053022473
Libreoffice,DT,3,best_model_performance,0.2932563140297532,0.8432757027847434,0.33016828053022473
Libreoffice,DT,4,best_model_performance,0.2932563140297532,0.8432757027847434,0.33016828053022473
Libreoffice,RF,0,best_model_performance,0.3792489037432934,0.928146057824598,0.43308771095792725
Libreoffice,RF,1,best_model_performance,0.37161508400855636,0.923735400704602,0.4248191853825657
Libreoffice,RF,2,best_model_performance,0.37890085578251675,0.9279034024129306,0.4326930677416805
Libreoffice,RF,3,best_model_performance,0.3762217389244298,0.9259568811866233,0.42960204794042356
Libreoffice,RF,4,best_model_performance,0.3744302562649077,0.9258341891701403,0.4281055900621118
Libreoffice,LR,0,best_model_performance,0.03214827766532619,0.08763768978862756,0.16115235911999182
Libreoffice,LR,1,best_model_performance,0.03214827766532619,0.08763768978862756,0.16115235911999182
Libreoffice,LR,2,best_model_performance,0.03214827766532619,0.08763768978862756,0.16115235911999182
Libreoffice,LR,3,best_model_performance,0.03214827766532619,0.08763768978862756,0.16115235911999182
Libreoffice,LR,4,best_model_performance,0.03214827766532619,0.08763768978862756,0.16115235911999182
Libreoffice,LGBM,0,best_model_performance,0.24709583063865345,0.7924932112118563,0.28691182285488337
Libreoffice,LGBM,1,best_model_performance,0.24709583063865345,0.7924932112118563,0.28691182285488337
Libreoffice,LGBM,2,best_model_performance,0.24709583063865345,0.7924932112118563,0.28691182285488337
Libreoffice,LGBM,3,best_model_performance,0.24709583063865345,0.7924932112118563,0.28691182285488337
Libreoffice,LGBM,4,best_model_performance,0.24709583063865345,0.7924932112118563,0.28691182285488337
Libreoffice,ET,0,best_model_performance,0.3620079141668843,0.9210425140128291,0.41586826347305383
Libreoffice,ET,1,best_model_performance,0.3601835956435685,0.9207043108682452,0.4142622215577815
Libreoffice,ET,2,best_model_performance,0.36071183671062834,0.9215840863606041,0.4151085645355851
Libreoffice,ET,3,best_model_performance,0.35598629905769463,0.9202748236817873,0.4107396604592027
Libreoffice,ET,4,best_model_performance,0.3623164663936827,0.9213794498381878,0.4162787205286079
Eclipse,DT,0,best_model_performance,0.33521376239108197,0.835290656891363,0.4468004255965952
Eclipse,DT,1,best_model_performance,0.33521376239108197,0.835290656891363,0.4468004255965952
Eclipse,DT,2,best_model_performance,0.33521376239108197,0.835290656891363,0.4468004255965952
Eclipse,DT,3,best_model_performance,0.33521376239108197,0.835290656891363,0.4468004255965952
Eclipse,DT,4,best_model_performance,0.33521376239108197,0.835290656891363,0.4468004255965952
Eclipse,RF,0,best_model_performance,0.2662390446884037,0.6907646267037807,0.38024148136507685
Eclipse,RF,1,best_model_performance,0.24591626337838784,0.6516738660907128,0.36477770666141496
Eclipse,RF,2,best_model_performance,0.28120198363779636,0.7195289799663557,0.3926146713031959
Eclipse,RF,3,best_model_performance,0.27380285518296493,0.7042773909336365,0.3862179916878939
Eclipse,RF,4,best_model_performance,0.2765575737084628,0.7053825094271398,0.3878065797241453
Eclipse,LR,0,best_model_performance,0.23679973769424886,0.6985127624536848,0.3662032779791205
Eclipse,LR,1,best_model_performance,0.23678474436639935,0.6984960181146835,0.3661933739012847
Eclipse,LR,2,best_model_performance,0.23679973769424886,0.6985127624536848,0.3662032779791205
Eclipse,LR,3,best_model_performance,0.23678474436639935,0.6984960181146835,0.3661933739012847
Eclipse,LR,4,best_model_performance,0.23679973769424886,0.6985127624536848,0.3662032779791205
Eclipse,LGBM,0,best_model_performance,0.20811415246291648,0.562504525116205,0.3380584098328331
Eclipse,LGBM,1,best_model_performance,0.20811415246291648,0.562504525116205,0.3380584098328331
Eclipse,LGBM,2,best_model_performance,0.20811415246291648,0.562504525116205,0.3380584098328331
Eclipse,LGBM,3,best_model_performance,0.20811415246291648,0.562504525116205,0.3380584098328331
Eclipse,LGBM,4,best_model_performance,0.20811415246291648,0.562504525116205,0.3380584098328331
Eclipse,ET,0,best_model_performance,0.3738810361753831,0.8511410207600834,0.47653173728146164
Eclipse,ET,1,best_model_performance,0.37276772106772343,0.8465308053668593,0.47472527472527476
Eclipse,ET,2,best_model_performance,0.37278064097038466,0.8495882973233718,0.4754303599374021
Eclipse,ET,3,best_model_performance,0.3746451106038627,0.8513816113574275,0.4771133695737808
Eclipse,ET,4,best_model_performance,0.37600023600595617,0.8506138924707068,0.47787749343574876
Gerrithub,DT,0,best_model_performance,0.1481279684411474,0.9378868868706235,0.14874192830104654
Gerrithub,DT,1,best_model_performance,0.1481279684411474,0.9378868868706235,0.14874192830104654
Gerrithub,DT,2,best_model_performance,0.1481279684411474,0.9378868868706235,0.14874192830104654
Gerrithub,DT,3,best_model_performance,0.1481279684411474,0.9378868868706235,0.14874192830104654
Gerrithub,DT,4,best_model_performance,0.1481279684411474,0.9378868868706235,0.14874192830104654
Gerrithub,RF,0,best_model_performance,0.11702254969383381,0.9385277741810177,0.10761278195488722
Gerrithub,RF,1,best_model_performance,0.1372902487375503,0.9389771751632082,0.12578324437224414
Gerrithub,RF,2,best_model_performance,0.06913642284170017,0.940264169763663,0.043780582024208085
Gerrithub,RF,3,best_model_performance,0.10709453066147503,0.9380917698470502,0.10105757931844889
Gerrithub,RF,4,best_model_performance,0.1484203439286753,0.939055432156812,0.13804173354735155
Gerrithub,LR,0,best_model_performance,0.3820218667433263,0.9502672667305724,0.3184146069917614
Gerrithub,LR,1,best_model_performance,0.3820218667433263,0.9502672667305724,0.3184146069917614
Gerrithub,LR,2,best_model_performance,0.3820218667433263,0.9502672667305724,0.3184146069917614
Gerrithub,LR,3,best_model_performance,0.3820218667433263,0.9502672667305724,0.3184146069917614
