train_or_test,model_id,algorithm,run,file_id,Source,Target,G,precision,fn,accuracy,fp,balance,fpr,f1,fnr,MCC,tpr,tnr,tn,tp
test,best_model_performance,ibea,0,Eclipse_Gerrithub,Eclipse,Gerrithub,0.21175673477216964,0.11477272727272728,17.0,0.1501817080557238,28044.0,0.6909995558315863,0.9549494330370825,0.20581326238926784,0.0046537092800438,0.06421806662689312,0.9953462907199562,0.04505056696291756,1323.0,3636.0
train,best_model_performance,ibea,0,Eclipse_Gerrithub,Eclipse,Gerrithub,0.18996299909578018,0.1579117853479458,25.0,0.18364108733936635,46794.0,0.6941957349759486,0.9638112500257461,0.272646770961177,0.002840909090909091,0.06926885451499384,0.9971590909090909,0.03618874997425388,1757.0,8775.0
test,model1,ibea,0,Eclipse_Gerrithub,Eclipse,Gerrithub,0.6632749530548253,0.2308868501529052,1539.0,0.7401271956390066,7042.0,0.4923210573285404,0.2397929648925665,0.3300804122101647,0.4212975636463181,0.23747277198024566,0.5787024363536819,0.7602070351074335,22325.0,2114.0
train,model1,ibea,0,Eclipse_Gerrithub,Eclipse,Gerrithub,0.7327292013782224,0.3227033352837917,2182.0,0.7197607713902111,13890.0,0.43507975415453104,0.28609091470824494,0.45161730585505666,0.24795454545454546,0.35038445147261915,0.7520454545454546,0.713909085291755,34661.0,6618.0
test,model10,ibea,0,Eclipse_Gerrithub,Eclipse,Gerrithub,0.47386720243431507,0.8945652173913043,2830.0,0.9113567534827377,97.0,0.6223796119206747,0.0033030272074096776,0.3599387710474524,0.7747057213249384,0.4231010054341157,0.2252942786750616,0.9966969727925903,29270.0,823.0
train,model10,ibea,0,Eclipse_Gerrithub,Eclipse,Gerrithub,0.67959851195299,0.829058116232465,4663.0,0.9038203344318321,853.0,0.5148677252823671,0.01756915408539474,0.6,0.5298863636363637,0.5786919764879263,0.47011363636363634,0.9824308459146053,47698.0,4137.0
test,model100,ibea,0,Eclipse_Gerrithub,Eclipse,Gerrithub,0.6022856206317003,0.1547214499021728,648.0,0.48319200484554814,16417.0,0.541524700721916,0.5590288418973678,0.2604550379198266,0.1773884478510813,0.16799140163807907,0.8226115521489187,0.4409711581026322,12950.0,3005.0
train,model100,ibea,0,Eclipse_Gerrithub,Eclipse,Gerrithub,0.6372062326172152,0.22865522803930194,1004.0,0.5239315792226814,26299.0,0.5261001060064348,0.5416778233198081,0.36349224851381284,0.11409090909090909,0.25268408258690944,0.8859090909090909,0.458322176680192,22252.0,7796.0
test,model101,ibea,0,Eclipse_Gerrithub,Eclipse,Gerrithub,0.6828504275474307,0.21562913907284767,1211.0,0.6943064809206542,8883.0,0.4736922692734888,0.30248237817958934,0.32607824809720926,0.3315083493019436,0.2418509419185672,0.6684916506980564,0.6975176218204107,20484.0,2442.0
train,model101,ibea,0,Eclipse_Gerrithub,Eclipse,Gerrithub,0.703161338061715,0.2724251236922612,1587.0,0.6364317971787763,19264.0,0.46681879612213667,0.3967786451360425,0.4089350001417354,0.18034090909090908,0.3057223517916845,0.819659090909091,0.6032213548639574,29287.0,7213.0
test,model102,ibea,0,Eclipse_Gerrithub,Eclipse,Gerrithub,0.6775102344660712,0.30569708198239925,1673.0,0.8131435493640218,4497.0,0.49137675684105747,0.15313106548166308,0.39091806515301086,0.45797974267725156,0.3071981166997839,0.5420202573227484,0.8468689345183369,24870.0,1980.0
train,model102,ibea,0,Eclipse_Gerrithub,Eclipse,Gerrithub,0.7429228682124197,0.3612145517043827,2495.0,0.7620791267807013,11150.0,0.4271213999964004,0.22965541389466745,0.48028946867263383,0.28352272727272726,0.38131675797492487,0.7164772727272727,0.7703445861053325,37401.0,6305.0
test,model103,ibea,0,Eclipse_Gerrithub,Eclipse,Gerrithub,0.6635221855119738,0.23204662927526667,1543.0,0.7417928528164749,6983.0,0.49230238572074275,0.23778390710661626,0.33108426172916994,0.4223925540651519,0.23862193635901882,0.577607445934848,0.7622160928933838,22384.0,2110.0
train,model103,ibea,0,Eclipse_Gerrithub,Eclipse,Gerrithub,0.7329887146253763,0.3225476839237057,2171.0,0.7193771686631445,13923.0,0.43490590335088536,0.2867706123457807,0.4516898337421641,0.24670454545454545,0.3506470151067106,0.7532954545454545,0.7132293876542193,34628.0,6629.0
test,model104,ibea,0,Eclipse_Gerrithub,Eclipse,Gerrithub,0.6637214781515697,0.23371860413425205,1550.0,0.7442459115687462,6895.0,0.49241046122083204,0.23478734634113121,0.3324638368508418,0.42430878729811117,0.2401645920054943,0.5756912127018888,0.7652126536588688,22472.0,2103.0
train,model104,ibea,0,Eclipse_Gerrithub,Eclipse,Gerrithub,0.7323366605526611,0.3207683768521647,2154.0,0.7170581158131506,14073.0,0.43553673331494525,0.2898601470618525,0.4502862563094956,0.24477272727272728,0.3491575328177954,0.7552272727272727,0.7101398529381475,34478.0,6646.0
test,model105,ibea,0,Eclipse_Gerrithub,Eclipse,Gerrithub,0.6757280754049227,0.18989628638340583,815.0,0.6086614173228346,12107.0,0.4841294076013332,0.4122654680423605,0.30519410689321436,0.2231042978373939,0.22978421488241996,0.7768957021626061,0.5877345319576395,17260.0,2838.0
train,model105,ibea,0,Eclipse_Gerrithub,Eclipse,Gerrithub,0.671616239237558,0.2469333682247882,1251.0,0.5767641366323167,23022.0,0.49751025283965306,0.4741817882226937,0.3834802265626984,0.1421590909090909,0.27715699517445963,0.857840909090909,0.5258182117773064,25529.0,7549.0
test,model106,ibea,0,Eclipse_Gerrithub,Eclipse,Gerrithub,0.6772553287107755,0.30627420604182803,1676.0,0.8136281041792853,4478.0,0.4916689538744224,0.15248408077093337,0.39117530668777206,0.45880098549137693,0.30745589193631867,0.5411990145086231,0.8475159192290667,24889.0,1977.0
train,model106,ibea,0,Eclipse_Gerrithub,Eclipse,Gerrithub,0.7436831524203132,0.3724253888188314,2598.0,0.772471273386689,10451.0,0.4274166510433621,0.21525818211777306,0.4873295878678347,0.2952272727272727,0.38866304760568665,0.7047727272727272,0.784741817882227,38100.0,6202.0
test,model107,ibea,0,Eclipse_Gerrithub,Eclipse,Gerrithub,0.6573166399728858,0.17712691771269176,605.0,0.5528467595396729,14160.0,0.5048882127426839,0.4821738686280519,0.2922199319303964,0.1656173008486176,0.22115474738558355,0.8343826991513824,0.5178261313719481,15207.0,3048.0
train,model107,ibea,0,Eclipse_Gerrithub,Eclipse,Gerrithub,0.5644487512589841,0.20360450563204005,666.0,0.4336280099736709,31816.0,0.5743111867301421,0.6553109101769273,0.3337025641025641,0.07568181818181818,0.2108914390084855,0.9243181818181818,0.34468908982307267,16735.0,8134.0
test,model108,ibea,0,Eclipse_Gerrithub,Eclipse,Gerrithub,0.6076340430501422,0.15817828103955703,482.0,0.4743185947910357,16876.0,0.5429604306829241,0.5746586304355229,0.2675949367088607,0.13194634546947714,0.18843538856213315,0.8680536545305229,0.42534136956447716,12491.0,3171.0
