Source,Target,algorithm,MCC,f1_A,f1_M
Eclipse,Gerrithub,LGBM,0.369450766,0.437744277,0.931585026
Eclipse,Gerrithub,LGBM,0.369450766,0.437744277,0.931585026
Eclipse,Gerrithub,LGBM,0.369450766,0.437744277,0.931585026
Eclipse,Gerrithub,LGBM,0.369450766,0.437744277,0.931585026
Eclipse,Gerrithub,ET,0.353901511,0.430814166,0.919115231
Eclipse,Gerrithub,ET,0.34757142,0.423535444,0.922783702
Eclipse,Gerrithub,ET,0.36010188,0.435897436,0.921005386
Eclipse,Gerrithub,ET,0.348878333,0.424061323,0.924018306
Eclipse,Gerrithub,ET,0.354081202,0.43063263,0.920301738
Gerrithub,Libreoffice,DT,0.280831999,0.333131569,0.871108748
Gerrithub,Libreoffice,DT,0.245372572,0.305782459,0.861972433
Gerrithub,Libreoffice,DT,0.297885006,0.353334572,0.891274245
Gerrithub,Libreoffice,DT,0.262433145,0.316722619,0.860137007
Gerrithub,Libreoffice,DT,0.197970673,0.258092878,0.787051482
Gerrithub,Libreoffice,RF,0.199412,0.257819534,0.781207806
Gerrithub,Libreoffice,RF,0.196897025,0.254997134,0.773424151
Gerrithub,Libreoffice,RF,0.19115557,0.250780398,0.767302503
Gerrithub,Libreoffice,RF,0.190824943,0.250516432,0.766807287
Gerrithub,Libreoffice,RF,0.19414612,0.253750866,0.774975639
Gerrithub,Libreoffice,LR,0.037265579,0.161779575,0.091667131
Gerrithub,Libreoffice,LR,0.037246337,0.161776803,0.09163169
Gerrithub,Libreoffice,LR,0.037246337,0.161776803,0.09163169
Gerrithub,Libreoffice,LR,0.037246337,0.161776803,0.09163169
Gerrithub,Libreoffice,LR,0.037246337,0.161776803,0.09163169
Gerrithub,Libreoffice,LGBM,0.204770428,0.258952543,0.771471552
Gerrithub,Libreoffice,LGBM,0.204770428,0.258952543,0.771471552
Gerrithub,Libreoffice,LGBM,0.204770428,0.258952543,0.771471552
Gerrithub,Libreoffice,LGBM,0.204770428,0.258952543,0.771471552
Gerrithub,Libreoffice,LGBM,0.204770428,0.258952543,0.771471552
Gerrithub,Libreoffice,ET,0.308292578,0.35371517,0.875783657
Gerrithub,Libreoffice,ET,0.27249745,0.320150846,0.851148895
Gerrithub,Libreoffice,ET,0.31546012,0.362282019,0.883600337
Gerrithub,Libreoffice,ET,0.28856401,0.333606054,0.859329462
Gerrithub,Libreoffice,ET,0.295624745,0.341757304,0.86787526
Gerrithub,Eclipse,DT,0.210424235,0.342791234,0.600711963
Gerrithub,Eclipse,DT,0.211540209,0.343269475,0.600602874
Gerrithub,Eclipse,DT,0.210424235,0.342791234,0.600711963
Gerrithub,Eclipse,DT,0.210424235,0.342791234,0.600711963
Gerrithub,Eclipse,DT,0.210424235,0.342791234,0.600711963
Gerrithub,Eclipse,RF,0.261969634,0.378073421,0.690559189
Gerrithub,Eclipse,RF,0.283856105,0.3944466,0.722041315
Gerrithub,Eclipse,RF,0.259946095,0.37696445,0.689934323
Gerrithub,Eclipse,RF,0.272713378,0.386529538,0.709611951
Gerrithub,Eclipse,RF,0.264440557,0.380040216,0.69531636
Gerrithub,Eclipse,LR,0.305367913,0.417025862,0.778785328
Gerrithub,Eclipse,LR,0.305367913,0.417025862,0.778785328
Gerrithub,Eclipse,LR,0.305367913,0.417025862,0.778785328
Gerrithub,Eclipse,LR,0.305367913,0.417025862,0.778785328
Gerrithub,Eclipse,LR,0.305385385,0.41703908,0.778800014
Gerrithub,Eclipse,LGBM,0.284489715,0.398054317,0.740656654
Gerrithub,Eclipse,LGBM,0.284489715,0.398054317,0.740656654
Gerrithub,Eclipse,LGBM,0.284489715,0.398054317,0.740656654
Gerrithub,Eclipse,LGBM,0.284489715,0.398054317,0.740656654
Gerrithub,Eclipse,LGBM,0.284489715,0.398054317,0.740656654
Gerrithub,Eclipse,ET,0.39540586,0.495547451,0.869446883
Gerrithub,Eclipse,ET,0.337763711,0.442607959,0.806790566
Gerrithub,Eclipse,ET,0.331745617,0.439141138,0.808037073
Gerrithub,Eclipse,ET,0.338966233,0.44260759,0.803631219
Gerrithub,Eclipse,ET,0.337338041,0.441188224,0.801828188
Eclipse,Gerrithub,ibea,0.427826542,0.364826533,0.952633549
Eclipse,Gerrithub,ibea,0.428737814,0.366724739,0.952675433
Eclipse,Gerrithub,ibea,0.416752735,0.351232394,0.952061923
Eclipse,Gerrithub,ibea,0.423081759,0.35937842,0.952384051
Eclipse,Gerrithub,ibea,0.420361311,0.355292051,0.952249293
Eclipse,Libreoffice,ibea,0.48756781,0.49733191,0.964012149
Eclipse,Libreoffice,ibea,0.49005703,0.500332491,0.964109325
Eclipse,Libreoffice,ibea,0.487996959,0.503001827,0.963572358
Eclipse,Libreoffice,ibea,0.490427992,0.500731286,0.964127745
Eclipse,Libreoffice,ibea,0.483418558,0.497704316,0.96338513
Gerrithub,Eclipse,ibea,0.554214808,0.590703185,0.941476588
Gerrithub,Eclipse,ibea,0.48438349,0.555806984,0.926152251
Gerrithub,Eclipse,ibea,0.548013463,0.588097373,0.940389816
Gerrithub,Eclipse,ibea,0.359856163,0.467241804,0.88553968
Gerrithub,Eclipse,ibea,0.530418575,0.580597812,0.936959705
Gerrithub,Libreoffice,ibea,0.46740575,0.486486486,0.961987268
Gerrithub,Libreoffice,ibea,0.330715273,0.388527804,0.94217843
Gerrithub,Libreoffice,ibea,0.467116258,0.48518711,0.96208685
Gerrithub,Libreoffice,ibea,0.286762748,0.348520432,0.900210699
Gerrithub,Libreoffice,ibea,0.32158952,0.383304614,0.936689205
Libreoffice,Eclipse,ibea,0.565597807,0.599734507,0.942931995
Libreoffice,Eclipse,ibea,0.573731683,0.601466297,0.944373243
Libreoffice,Eclipse,ibea,0.562188369,0.598932705,0.942287555
Libreoffice,Eclipse,ibea,0.573959937,0.601410558,0.94441961
Libreoffice,Eclipse,ibea,0.571683319,0.600935639,0.944032447
Libreoffice,Gerrithub,ibea,0.414287092,0.372329173,0.951608957
Libreoffice,Gerrithub,ibea,0.39825075,0.381990713,0.949891139
Libreoffice,Gerrithub,ibea,0.429455747,0.370450607,0.952689502
Libreoffice,Gerrithub,ibea,0.43140381,0.370466884,0.952811915
Libreoffice,Gerrithub,ibea,0.404956195,0.380307692,0.950609008
